datetime,VBINX_r,SPY_r,IWM_r,QQQ_r,GLD_r,TLT_r,SHY_r,Backtest_r,SPY_x,IWM_x,QQQ_x,GLD_x,TLT_x,SHY_x,Backtest_x,SPY_l,IWM_l,QQQ_l,GLD_l,TLT_l
2001-01-03 16:00:00,0,-0.013531438,-0.023346653,-0.022435065,-0.001401799,-0.010257022,-0.00184255,-0.014194395,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-04 09:30:00,-0.003651334,-0.000757721,-0.001119242,-0.00257857,0.000233926,0.002049315,-5.87E-08,-0.000434458,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-04 16:00:00,0,-0.006147853,-0.018889066,-0.003619416,-0.001871392,0.003295841,0.000246087,-0.005446377,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-05 09:30:00,0.002617546,0.003644019,0.006199906,0.002335546,-0.00445273,0.000114483,0.000246666,0.001568245,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-05 16:00:00,0,0.001435317,-0.000891779,-0.00724833,-0.007768315,0.000566259,0.000245966,-0.002781369,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-06 09:30:00,-0.001566353,0.003034937,0.00227241,0.005475985,-0.001423535,0.004754157,0.000122279,0.002822791,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-06 16:00:00,0,-0.004454896,-0.013359258,-0.000259388,-0.005939653,-0.002478605,0,-0.00529836,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-09 09:30:00,0.00313777,-0.000844133,0.001148563,-0.002853651,0.003585134,0.00112969,-0.000122817,0.000433121,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-09 16:00:00,0,0.005577185,0.009016377,0.002341311,-0.000952632,0.000451275,-0.000491896,0.003286703,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-10 09:30:00,-0.003649431,-0.003024991,-0.004954953,-0.004152562,0.006197807,0.002480527,0.000492122,-0.000690834,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-10 16:00:00,0,-0.003877267,-0.007265899,-0.002866849,0,0.003374522,-0.000245905,-0.002127099,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-11 09:30:00,0.002616252,0.001861144,0.001480031,0.004443334,0.007344255,-0.003700558,-0.000123157,0.002285641,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-11 16:00:00,0,0.001435794,0.002627689,0.003903253,0.001881421,0.005063542,0.000245996,0.00298234,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-12 09:30:00,-0.003652865,0.000590296,0.001555764,-2.36E-07,-0.004929554,0.004814592,0.000739342,0.000406172,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-12 16:00:00,0,-0.008597404,-0.004579246,-0.013219336,0.004953975,0.004791086,0.000491594,-0.003330185,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-13 09:30:00,0.003666257,0.002975727,0.002957404,0.003414852,-0.00962439,-0.003104365,-0.00073762,-0.000676155,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-13 16:00:00,0,0.002288692,0.006552576,0.006020916,0.003081323,0.003003292,0.000245913,0.00418936,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-17 09:30:00,0.006263341,-0.001606564,-0.002359927,-0.003903059,-0.002362925,-0.004103664,-0.001352951,-0.002867228,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-17 16:00:00,0,0.012028784,0.014274062,0.011494305,0.002368522,0.007461002,0.00098442,0.009525335,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-18 09:30:00,-0.005187038,-0.000335253,-0.000482064,0.000258213,0.007797779,0.003647981,2.01E-07,0.002177331,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-18 16:00:00,0,-0.010131449,-0.013838603,-0.016782804,-0.00914429,-0.000770925,0.000122965,-0.010133614,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-19 09:30:00,-0.004170682,-0.002790916,-0.003508309,-0.011292354,-0.003312802,-0.003416797,0.00024574,-0.004864236,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-19 16:00:00,0,-0.00330816,-0.002456231,-0.007968233,0.003086444,0.005419222,0.000614416,-0.001045392,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-20 09:30:00,-0.002617697,0.002467813,0.001723377,0.00348119,0.001656805,-0.003410552,-0.000245418,0.001183727,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
