price,carat,cut,color,clarity,polish,symmetry,flourescence,depth,table,lengthWidth,culet
742,0.55,1,0,0,2,1,7,63.4,58,1.36,0
743,0.34,1,6,3,1,1,8,60.8,60,1.39,0
744,0.31,1,6,5,1,2,8,59.2,58,1.42,0
749,0.46,1,6,1,2,1,3,60.8,62,1.35,0
750,0.4,1,3,3,1,0,8,61.2,58,1.36,0
751,0.4,1,3,3,1,0,5,61.5,60,1.39,0
752,0.4,1,5,3,0,0,8,63.2,59,1.35,0
752,0.43,1,6,0,1,1,8,61.6,57,1.37,0
758,0.32,1,6,5,2,1,8,60.5,58,1.4,0
759,0.38,1,5,5,1,0,7,61.4,62,1.38,0
760,0.33,1,6,5,2,1,8,61.6,61,1.35,0
761,0.4,1,6,3,2,0,5,61.1,60,1.38,0
761,0.4,1,3,3,1,0,8,60.5,58,1.38,0
763,0.39,1,6,4,2,0,7,59.5,58,1.43,0
764,0.42,1,5,1,2,1,8,62.6,60,1.35,0
764,0.57,1,2,0,1,1,5,61.5,62,1.34,0
765,0.45,1,6,0,2,1,7,63.1,61,1.37,0
765,0.5,1,1,4,1,0,5,60.9,60,1.28,0
767,0.4,1,4,3,2,1,8,60.3,60,1.4,1
769,0.4,1,5,2,1,0,8,61.2,61,1.37,0
769,0.43,1,3,4,1,0,8,61.9,62,1.34,0
770,0.42,1,5,3,0,0,7,62.3,60,1.38,0
770,0.47,0,3,2,2,0,8,68.2,60,1.4,0
770,0.5,1,1,0,1,1,8,60.4,60,1.37,0
771,0.41,1,5,2,1,0,8,62.3,59,1.35,0
772,0.4,1,6,3,1,0,8,61.9,58,1.39,0
772,0.41,1,3,3,1,0,7,62.4,59,1.41,0
774,0.4,1,4,2,1,0,8,61.6,59,1.34,0
774,0.41,1,4,2,2,0,8,63,61,1.37,0
774,0.51,0,1,2,1,0,5,67.1,59,1.49,0
776,0.31,1,6,3,1,1,8,59.7,56,1.35,0
776,0.4,1,5,2,1,0,8,63.3,57,1.35,0
776,0.5,1,0,1,2,0,8,60.5,58,1.39,0
777,0.45,0,1,3,2,0,8,67.3,55,1.41,0
777,0.5,1,1,2,1,0,5,62,60,1.35,0
779,0.4,1,5,2,1,1,8,63.3,62,1.34,0
779,0.51,0,0,5,2,1,8,65.2,57,1.37,0
780,0.51,1,1,0,2,1,8,61.9,60,1.39,0
784,0.4,1,4,2,2,1,8,60.6,59,1.37,0
