round,carat,cut,color,clarity,depth,table,length-width,date,price
0,2.02,2,3,1,64.7,58.0,1.11,22,18676
0,2.02,2,3,2,64.2,60.0,1.01,22,21219
0,2.02,2,3,2,67.8,63.0,1.12,18,21219
0,2.02,2,3,2,67.8,63.0,1.12,22,21219
0,2.02,2,3,2,68.3,61.0,1.08,22,21239
0,2.02,2,3,5,68.6,62.0,1.13,19,25145
0,2.02,2,3,5,68.6,62.0,1.13,22,24003
0,2.02,2,4,3,64.8,60.0,1.16,18,27734
0,2.02,2,4,3,64.8,60.0,1.16,23,27152
0,2.02,2,4,3,67.7,61.0,1.00,18,25771
0,2.02,2,4,4,68.4,62.0,1.07,28,26960
0,2.02,2,5,2,67.9,63.0,1.00,19,23574
0,2.02,2,5,2,67.9,63.0,1.00,22,23948
0,2.02,2,6,1,68.3,62.0,1.19,19,21645
0,2.02,2,6,1,68.3,62.0,1.19,22,20699
0,2.03,0,0,2,69.6,68.0,1.18,22,11615
0,2.03,0,4,3,71.9,57.0,1.06,19,20991
0,2.03,0,4,3,71.9,57.0,1.06,22,20807
0,2.03,1,0,6,70.6,63.0,1.09,22,12755
0,2.03,1,3,3,69.5,62.0,1.04,19,24236
0,2.03,1,3,3,69.5,62.0,1.04,22,23684
0,2.03,1,3,3,70.3,60.0,1.14,18,22467
0,2.03,1,3,3,70.3,60.0,1.14,23,21955
0,2.03,1,6,2,65.0,52.0,1.15,20,26440
0,2.03,1,6,2,65.0,52.0,1.15,22,25938
0,2.03,2,1,1,60.1,64.0,1.05,22,13743
0,2.03,2,3,3,68.8,59.0,1.11,22,22330
0,2.03,2,3,6,68.9,63.0,1.07,19,28829
0,2.03,2,3,6,68.9,63.0,1.07,28,25717
0,2.03,2,4,2,67.5,60.0,1.11,18,26704
0,2.03,2,4,2,67.5,60.0,1.11,23,26099
0,2.03,2,5,1,68.0,58.0,1.15,19,20448
0,2.03,2,5,1,68.0,58.0,1.15,22,19917
0,2.04,1,2,2,66.6,65.0,1.09,22,17961
0,2.04,1,2,5,68.3,65.0,1.08,24,22383
0,2.04,1,2,5,68.3,65.0,1.08,28,20532
0,2.04,1,4,4,61.8,65.0,1.11,19,28031
0,2.04,1,4,4,61.8,65.0,1.11,22,27531
0,2.04,2,2,3,65.5,61.0,1.00,23,26463
0,2.04,2,3,1,66.2,62.0,1.14,18,20453
0,2.04,2,3,3,67.7,63.0,1.20,24,22788
0,2.04,2,3,3,67.7,63.0,1.20,28,22268
0,2.04,2,3,6,65.2,58.0,1.12,20,28116
0,2.04,2,3,6,65.2,58.0,1.12,22,28116
0,2.04,2,4,2,64.9,60.0,1.16,18,25506
0,2.04,2,4,2,64.9,60.0,1.16,23,24927
0,2.05,0,3,3,67.8,67.0,1.23,19,22028
0,2.05,1,3,3,69.2,58.0,1.02,18,22318
0,2.05,2,3,3,68.3,61.0,1.00,19,24467
0,2.05,2,3,3,68.3,61.0,1.00,22,23911
0,2.06,0,1,4,67.9,67.0,1.15,28,15434
0,2.06,1,3,3,69.2,64.0,1.13,24,23874
0,2.06,1,3,3,69.2,64.0,1.13,28,23331
0,2.06,2,2,3,68.9,58.0,1.24,23,19348
0,2.06,2,2,6,68.1,56.0,1.07,19,22174
0,2.06,2,2,6,68.1,56.0,1.07,22,22174
0,2.06,2,3,3,67.5,57.0,1.07,20,24179
0,2.07,1,2,1,69.4,57.0,1.09,23,18295
0,2.07,1,2,3,69.4,64.0,1.08,23,18436
0,2.07,2,3,2,68.5,62.0,1.01,20,22142
0,2.07,2,6,2,60.2,54.0,1.31,22,27154
0,2.08,0,3,5,68.8,68.0,1.16,20,22750
0,2.08,0,3,5,68.8,68.0,1.16,22,22291
0,2.08,2,3,6,67.8,58.0,1.18,18,27561
0,2.08,2,3,6,67.8,58.0,1.18,22,27100
0,2.09,2,1,4,67.0,60.0,1.07,22,17166
0,2.09,2,4,3,66.4,54.0,1.13,19,23751
0,2.09,2,4,3,66.4,54.0,1.13,22,23250
0,2.09,2,5,2,66.2,64.0,1.23,19,23822
0,2.09,2,5,2,66.2,64.0,1.23,22,23315
0,2.10,1,2,4,69.1,53.0,1.21,22,18612
0,2.11,0,4,3,69.4,68.0,1.12,24,26282
0,2.11,0,4,3,69.4,68.0,1.12,28,25729
0,2.12,2,2,3,67.8,61.0,1.11,19,20825
0,2.12,2,2,3,67.8,61.0,1.11,22,20232
0,2.12,2,6,1,63.3,57.0,1.19,20,21790
0,2.13,1,6,3,70.2,56.0,1.26,19,26590
0,2.13,1,6,3,70.2,56.0,1.26,22,26166
0,2.13,2,3,6,67.1,61.0,1.16,20,29311
0,2.14,0,3,4,71.4,57.0,1.14,19,21784
0,2.14,0,3,4,71.4,57.0,1.14,23,21323
0,2.14,1,2,2,69.3,63.0,1.04,22,18604
0,2.15,0,2,3,72.8,60.0,1.10,22,15340
0,2.15,1,3,3,69.6,63.0,1.06,24,25487
0,2.15,1,3,3,69.6,63.0,1.06,28,24908
0,2.16,1,1,2,70.6,60.0,1.07,22,15236
0,2.17,1,4,2,69.7,61.0,1.28,22,20954
0,2.17,2,1,5,66.8,59.0,1.01,18,22212
0,2.17,2,6,1,60.0,59.0,1.09,20,23020
0,2.17,2,6,1,60.0,59.0,1.09,22,22451
0,2.18,1,2,3,68.2,66.0,1.00,19,20420
0,2.18,2,5,2,68.7,61.0,1.16,18,29084
0,2.19,2,2,4,65.9,58.0,1.08,19,20853
0,2.19,2,2,4,65.9,58.0,1.08,22,20288
0,2.20,0,1,3,58.8,69.0,1.17,28,15975
0,2.20,2,2,1,66.6,58.0,1.17,22,17594
0,2.20,2,2,6,66.8,63.0,1.05,18,24807
0,2.20,2,2,6,67.0,63.0,1.00,18,24807
0,2.21,1,3,3,69.5,58.0,1.06,22,26244
0,2.21,2,2,5,67.4,63.0,1.09,18,28380
0,2.21,2,2,5,67.4,63.0,1.09,23,27683
0,2.23,0,3,3,69.1,69.0,1.07,22,26605
0,2.23,1,1,6,67.5,65.0,1.19,22,17851
0,2.23,1,2,1,69.5,65.0,1.15,22,18533
0,2.23,1,2,3,69.4,66.0,1.02,24,21385
0,2.23,1,2,3,69.4,66.0,1.02,28,20778
0,2.24,1,3,2,69.7,56.0,1.03,18,25797
0,2.24,1,3,2,69.7,56.0,1.03,22,25162
0,2.26,1,4,2,69.0,65.0,1.03,22,27231
0,2.28,1,3,2,69.5,60.0,1.03,18,25441
0,2.28,1,3,2,69.5,60.0,1.03,22,24552
0,2.28,2,3,3,67.0,62.0,1.14,22,24994
0,2.29,1,3,0,69.4,60.0,1.04,22,17614
0,2.30,0,0,3,71.2,60.0,1.17,22,14301
0,2.30,0,3,2,72.9,60.0,1.22,23,23061
